load 0.4795035920000146
QR {'ideal_coordinate_count': 1599, 'numerical_ideal_rank': 601, 'QR_rank_threshold': 1e-11, 'dependent_coordinates_removed': 998, 'ideal_projector_max_defect': 2.7755575615628914e-16, 'dual_normalization_error': 1.7763568394002505e-14, 'seconds': 10.09075926700001}
coefficient residual 9.127220766644744e-08
b -9.257721163348872
{'group': 42, 'members': [42], 'physical': 112, 'retained': 49, 'min_full': -46.81468773609585, 'min_retained': -4.936966834416238e-05, 'negative_count': 56, 'distance': 0.9349345798743984, 'Qtrace': 2.5267235066413543, 'V_singular_min': 0.9999999765712834}
{'group': 43, 'members': [56], 'physical': 112, 'retained': 49, 'min_full': -45.71259888245306, 'min_retained': -4.463645328587621e-05, 'negative_count': 56, 'distance': 0.9329435173401626, 'Qtrace': 2.526676986978982, 'V_singular_min': 0.9999999765712834}
{'group': 44, 'members': [43], 'physical': 112, 'retained': 50, 'min_full': -48.32767578193142, 'min_retained': -5.502996047978093e-05, 'negative_count': 55, 'distance': 0.9197626868251491, 'Qtrace': 2.3525319852545756, 'V_singular_min': 0.9999999777494302}
{'group': 45, 'members': [57], 'physical': 112, 'retained': 50, 'min_full': -48.36553449623601, 'min_retained': -5.125682034512029e-05, 'negative_count': 57, 'distance': 0.9390975518755845, 'Qtrace': 2.3524929677275495, 'V_singular_min': 0.9999999777494302}
{'group': 46, 'members': [44], 'physical': 368, 'retained': 82, 'min_full': -85.12787148840538, 'min_retained': -8.292335314791815e-05, 'negative_count': 183, 'distance': 0.9695262691379514, 'Qtrace': 6.634767419390903, 'V_singular_min': 0.8204224257172642}
{'group': 47, 'members': [54], 'physical': 368, 'retained': 82, 'min_full': -83.49026041080978, 'min_retained': -8.130563371346087e-05, 'negative_count': 181, 'distance': 0.9621875099783506, 'Qtrace': 6.6345358516051895, 'V_singular_min': 0.8204224257172642}
{'group': 48, 'members': [45], 'physical': 368, 'retained': 83, 'min_full': -84.23194869123033, 'min_retained': -9.833779997732106e-05, 'negative_count': 180, 'distance': 0.9622797409833724, 'Qtrace': 5.766830349164375, 'V_singular_min': 0.8105630528269718}
{'group': 49, 'members': [55], 'physical': 368, 'retained': 83, 'min_full': -84.86071901955063, 'min_retained': -0.00010047249714855948, 'negative_count': 183, 'distance': 0.963193231561112, 'Qtrace': 5.766956451774169, 'V_singular_min': 0.8105630528269718}
{'group': 50, 'members': [46], 'physical': 368, 'retained': 82, 'min_full': -85.12787148840538, 'min_retained': -8.009192585305097e-05, 'negative_count': 183, 'distance': 0.9695264458474084, 'Qtrace': 3.5081715067733437, 'V_singular_min': 0.8204223373862233}
{'group': 51, 'members': [52], 'physical': 368, 'retained': 82, 'min_full': -83.4902604108098, 'min_retained': -8.517924988251502e-05, 'negative_count': 181, 'distance': 0.9621878101706272, 'Qtrace': 3.508508440517021, 'V_singular_min': 0.8204223373862233}
{'group': 52, 'members': [47], 'physical': 368, 'retained': 83, 'min_full': -84.23194869123033, 'min_retained': -0.00010002407878663675, 'negative_count': 180, 'distance': 0.9622797980838852, 'Qtrace': 3.9668771232601685, 'V_singular_min': 0.8105614756380111}
{'group': 53, 'members': [53], 'physical': 368, 'retained': 83, 'min_full': -84.86071901955063, 'min_retained': -0.00010155895658595494, 'negative_count': 183, 'distance': 0.9631936230155134, 'Qtrace': 3.966840670695578, 'V_singular_min': 0.8105614756380111}
{'group': 54, 'members': [48], 'physical': 112, 'retained': 49, 'min_full': -46.81468773609585, 'min_retained': -4.4736911644264005e-05, 'negative_count': 56, 'distance': 0.9349338433451884, 'Qtrace': 2.8712535612542385, 'V_singular_min': 0.9999999749945571}
{'group': 55, 'members': [50], 'physical': 112, 'retained': 49, 'min_full': -45.71259888245306, 'min_retained': -4.909042083906739e-05, 'negative_count': 56, 'distance': 0.9329419187003601, 'Qtrace': 2.8712192481707275, 'V_singular_min': 0.9999999749945571}
{'group': 56, 'members': [49], 'physical': 112, 'retained': 50, 'min_full': -48.32767578193142, 'min_retained': -5.52732250734431e-05, 'negative_count': 55, 'distance': 0.9197640160310384, 'Qtrace': 2.4946274864674836, 'V_singular_min': 0.999999975328826}
{'group': 57, 'members': [51], 'physical': 112, 'retained': 50, 'min_full': -48.36553449623601, 'min_retained': -5.13641376382928e-05, 'negative_count': 57, 'distance': 0.9390967784793547, 'Qtrace': 2.494596567213364, 'V_singular_min': 0.999999975328826}
DONE 10.833913985999999
