         191656 function calls (190958 primitive calls) in 0.046 seconds

   Ordered by: cumulative time
   List reduced from 161 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.046    0.046 v11_preflight.py:16(calculation)
        1    0.000    0.000    0.024    0.024 v11_matrix_taylor.py:161(matrix_taylor)
        1    0.000    0.000    0.020    0.020 v7_certificate.py:197(check_certificate)
        1    0.000    0.000    0.019    0.019 v7_certificate.py:114(residual_records)
       37    0.001    0.000    0.014    0.000 v7_certificate.py:159(norm_witness)
       13    0.002    0.000    0.013    0.001 v7_certificate.py:88(apply)
     7564    0.002    0.000    0.010    0.000 fractions.py:613(forward)
     4624    0.002    0.000    0.009    0.000 {built-in method builtins.sum}
     6596    0.003    0.000    0.006    0.000 fractions.py:186(__new__)
     3978    0.002    0.000    0.005    0.000 certificates.py:20(_anti)
       47    0.001    0.000    0.005    0.000 v7_certificate.py:39(clean)
     4044    0.002    0.000    0.004    0.000 fractions.py:710(_add)
       70    0.001    0.000    0.004    0.000 v7_certificate.py:51(add)
       30    0.000    0.000    0.004    0.000 pauli.py:28(commutator_i)
     3770    0.002    0.000    0.004    0.000 fractions.py:742(_mul)
    19186    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.003    0.002 v7_certificate.py:59(evaluate)
     1062    0.001    0.000    0.003    0.000 v7_certificate.py:21(rational)
     9858    0.002    0.000    0.003    0.000 fractions.py:317(_from_coprime_ints)
       37    0.000    0.000    0.003    0.000 {built-in method builtins.sorted}
       13    0.002    0.000    0.003    0.000 v11_matrix_taylor.py:104(apply)
       14    0.001    0.000    0.002    0.000 v11_matrix_taylor.py:134(to_pauli)
      533    0.000    0.000    0.002    0.000 v11_matrix_taylor.py:179(<genexpr>)
      420    0.001    0.000    0.002    0.000 pauli.py:20(multiply)
     1296    0.000    0.000    0.002    0.000 fractions.py:955(__lt__)
    16010    0.002    0.000    0.002    0.000 {built-in method math.gcd}
     5955    0.001    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
     1337    0.001    0.000    0.001    0.000 fractions.py:933(_richcmp)
    16454    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x102f92258}
     2102    0.001    0.000    0.001    0.000 {built-in method builtins.any}


